mode,pow,delay,loss,rate,n,mean_ms,min_ms,max_ms,p50_ms,p95_ms,stddev_ms,ci95_ms,p99_ms
single,8,0ms,0%,,30,5.998,2.741,9.785,6.309,9.536,2.305,0.825,9.785
single,16,0ms,0%,,30,31.321,7.774,147.116,21.685,80.042,27.726,9.922,147.116
single,20,0ms,0%,,30,334.571,25.741,972.335,268.924,947.483,273.656,97.926,972.335
